trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
268,False,"{'a': 0.001, 'e': 0.03831051677825592}",30,10,15.970680251791237,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
269,False,"{'a': 0.001, 'e': 0.03748553997822546}",25,2,35.39176543742331,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.001, 'e': 0.03668426829846061}",30,16,-8.008761359257614,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
271,False,"{'a': 0.001, 'e': 0.035906040019946794}",25,19,12.222202001166695,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.001, 'e': 0.03515021076189706}",30,16,27.747273437824454,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.001, 'e': 0.03441615309467627}",25,16,18.26549346261562,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.001, 'e': 0.033703256157190054}",20,10,23.492024475372503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.001, 'e': 0.033010925278987746}",25,15,18.43358078801398,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.001, 'e': 0.032338581607298855}",20,14,1.9882768221284053,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.001, 'e': 0.031685661739195514}",35,21,12.269792531745104,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.001, 'e': 0.031051617359053374}",20,6,19.976481251031935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.001, 'e': 0.030435914881458914}",20,10,18.91179484453652,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.001, 'e': 0.02983803509969074}",30,11,39.38341461495269,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.001, 'e': 0.029257472839884224}",25,19,9.439563683080907,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.001, 'e': 0.0286937366209713}",25,7,35.42965737576987,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.001, 'e': 0.028146348320468584}",20,3,20.554711664455354,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.001, 'e': 0.027614842846174548}",30,8,39.93925602149302,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.001, 'e': 0.027098767813819924}",25,11,26.953456836708046,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.001, 'e': 0.02659768323070355}",30,20,18.749402994378404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.001, 'e': 0.026111161185333298}",20,7,23.177433300810037,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
